difficulty_cell,constraint_load,distractor_similarity,information_load,records,api_success,api_failures,valid_answers,valid_answer_rate,json_compliant,json_compliance_rate,strict_answer_format,name_mapped_answers,unrecognized_answers,truncated,correct,accuracy_all_attempts,valid_answer_accuracy
CL1__DS1_far__IL1_low,CL1,DS1_far,IL1_low,60,60,0,60,1.0,60,1.0,60,0,0,0,60,1.0,1.0
CL1__DS1_far__IL2_high,CL1,DS1_far,IL2_high,60,60,0,60,1.0,60,1.0,60,0,0,0,60,1.0,1.0
CL1__DS2_medium__IL1_low,CL1,DS2_medium,IL1_low,60,60,0,60,1.0,60,1.0,60,0,0,0,60,1.0,1.0
CL1__DS2_medium__IL2_high,CL1,DS2_medium,IL2_high,60,60,0,60,1.0,60,1.0,60,0,0,0,57,0.95,0.95
CL1__DS3_near__IL1_low,CL1,DS3_near,IL1_low,60,60,0,60,1.0,60,1.0,60,0,0,0,57,0.95,0.95
CL1__DS3_near__IL2_high,CL1,DS3_near,IL2_high,60,60,0,60,1.0,60,1.0,60,0,0,0,55,0.916667,0.916667
CL2__DS1_far__IL1_low,CL2,DS1_far,IL1_low,60,60,0,60,1.0,60,1.0,60,0,0,0,60,1.0,1.0
CL2__DS1_far__IL2_high,CL2,DS1_far,IL2_high,60,60,0,60,1.0,60,1.0,60,0,0,0,60,1.0,1.0
CL2__DS2_medium__IL1_low,CL2,DS2_medium,IL1_low,60,60,0,60,1.0,60,1.0,60,0,0,0,60,1.0,1.0
CL2__DS2_medium__IL2_high,CL2,DS2_medium,IL2_high,60,60,0,60,1.0,60,1.0,60,0,0,0,55,0.916667,0.916667
CL2__DS3_near__IL1_low,CL2,DS3_near,IL1_low,60,60,0,60,1.0,60,1.0,60,0,0,0,59,0.983333,0.983333
CL2__DS3_near__IL2_high,CL2,DS3_near,IL2_high,60,60,0,60,1.0,60,1.0,60,0,0,0,54,0.9,0.9
CL3__DS1_far__IL1_low,CL3,DS1_far,IL1_low,60,60,0,60,1.0,60,1.0,60,0,0,0,60,1.0,1.0
CL3__DS1_far__IL2_high,CL3,DS1_far,IL2_high,60,60,0,60,1.0,60,1.0,60,0,0,0,60,1.0,1.0
CL3__DS2_medium__IL1_low,CL3,DS2_medium,IL1_low,60,60,0,60,1.0,60,1.0,60,0,0,0,56,0.933333,0.933333
CL3__DS2_medium__IL2_high,CL3,DS2_medium,IL2_high,60,60,0,60,1.0,60,1.0,60,0,0,0,54,0.9,0.9
CL3__DS3_near__IL1_low,CL3,DS3_near,IL1_low,60,60,0,60,1.0,60,1.0,60,0,0,0,60,1.0,1.0
CL3__DS3_near__IL2_high,CL3,DS3_near,IL2_high,60,60,0,60,1.0,60,1.0,60,0,0,0,55,0.916667,0.916667
