model_alias,difficulty_cell,constraint_load,distractor_similarity,information_load,num_constraints,item_count,expected_record_count,actual_record_count,api_success_count,api_success_denominator,api_success_rate,valid_answer_count,valid_answer_denominator,valid_answer_rate,json_compliant_count,json_compliant_denominator,json_compliant_rate,truncated_count,truncated_denominator,truncated_rate,correct_count,accuracy_all_attempts_denominator,accuracy_all_attempts,valid_accuracy_denominator,valid_answer_accuracy,valid_accuracy_item_cluster_bootstrap_95_ci,complete_valid_item_count,incomplete_item_count,disagreement_item_count,disagreement_denominator,disagreement_rate,correct_wrong_coexist_item_count,correct_wrong_coexist_denominator,correct_wrong_coexist_rate,all_three_valid_and_correct_item_count,all_three_valid_and_wrong_item_count,valid_wrong_answer_count,single_constraint_wrong_count,single_constraint_wrong_denominator,single_constraint_wrong_rate,multi_constraint_wrong_count,multi_constraint_wrong_denominator,multi_constraint_wrong_rate
qwen,CL1__DS1_far__IL1_low,CL1,DS1_far,IL1_low,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
qwen,CL1__DS1_far__IL2_high,CL1,DS1_far,IL2_high,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
qwen,CL1__DS2_medium__IL1_low,CL1,DS2_medium,IL1_low,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
qwen,CL1__DS2_medium__IL2_high,CL1,DS2_medium,IL2_high,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
qwen,CL1__DS3_near__IL1_low,CL1,DS3_near,IL1_low,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,29,30,0.966667,30,0.966667,"[0.9, 1.0]",10,0,1,10,0.1,1,10,0.1,9,0,1,1,1,1.0,0,1,0.0
qwen,CL1__DS3_near__IL2_high,CL1,DS3_near,IL2_high,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
qwen,CL2__DS1_far__IL1_low,CL2,DS1_far,IL1_low,5,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
qwen,CL2__DS1_far__IL2_high,CL2,DS1_far,IL2_high,5,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
qwen,CL2__DS2_medium__IL1_low,CL2,DS2_medium,IL1_low,5,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,24,30,0.8,30,0.8,"[0.5, 1.0]",10,0,0,10,0.0,0,10,0.0,8,2,6,6,6,1.0,0,6,0.0
qwen,CL2__DS2_medium__IL2_high,CL2,DS2_medium,IL2_high,5,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
